Advances,TID,SID,TSV
328,42814,36161,1359
329,24143,42814,7982
330,9180,24143,4018
331,8760,9180,60
332,16534,8760,3157
333,16304,16534,4068
334,4877,16304,1431
335,31427,4877,3385
336,43205,31427,6720
337,21476,43205,8036
338,46932,21476,7318
339,9596,46932,4677
340,25766,9596,2107
341,15189,25766,3070
342,21735,15189,3574
343,33894,21735,6672
344,51219,33894,2446
345,34490,51219,2517
346,10042,34490,5168
347,46730,10042,4662
348,33268,46730,1775
349,36045,33268,423
350,13988,36045,5965
351,34498,13988,5644
352,58488,34498,3159
353,59200,58488,103
354,58434,59200,96
355,29651,58434,4850
356,28066,29651,974
357,51952,28066,5354
358,20507,51952,4957
359,9665,20507,3771
360,21511,9665,3640
361,44891,21511,8043
362,64900,44891,2651
363,58463,64900,827
364,7125,58463,8177
365,63823,7125,7251
366,22982,63823,5137
367,58149,22982,5980
368,30742,58149,4966
369,40164,30742,7326
370,2301,40164,4739
371,30277,2301,4055
372,64566,30277,4430
373,60076,64566,723
374,7490,60076,7933
375,34047,7490,4919
376,25026,34047,7335
377,64551,25026,5052
378,39948,64551,3077
379,52532,39948,2599
380,26226,52532,5480
381,29564,26226,673
382,62931,29564,4309
383,52281,62931,1853
384,34408,52281,2378
385,33382,34408,129
386,21493,33382,6706
387,24813,21493,1635
388,5818,24813,3786
389,27756,5818,3930
390,57565,27756,4502
391,31501,57565,4986
392,33837,31501,8164
393,63572,33837,3983
394,28257,63572,4806
395,27591,28257,180
396,47683,27591,6704
397,34009,47683,2003
398,7788,34009,4950
399,43916,7788,5820
400,63096,43916,3006
401,46235,63096,2140
402,61916,46235,2216
403,10538,61916,6942
404,35783,10538,5213
405,58710,35783,3538
406,25005,58710,4255
407,30233,25005,758
408,23154,30233,1421
409,58966,23154,6020
410,26198,58966,4096
411,25620,26198,72
412,2,25620,3202
413,41514,2,5189
414,37234,41514,1643
415,59371,37234,3795
416,909,59371,7308
417,44951,909,5507
418,7587,44951,5702
419,21911,7587,2310
420,33335,21911,6900
421,64975,33335,4095
422,6322,64975,7343
423,18830,6322,2599
424,8186,18830,2766
425,4066,8186,515
426,3067,4066,131
427,54104,3067,6932
428,16552,54104,4734
429,31604,16552,1915
430,50951,31604,6030
431,46434,50951,3660
432,52529,46434,3850
433,40624,52529,2672
434,12410,40624,5593
435,52754,12410,8141
436,2337,52754,6374
437,49532,2337,6411
438,16687,49532,4106
439,65050,16687,6118
440,15469,65050,6222
441,5613,15469,1328
442,36257,5613,4873
443,8209,36257,5558
444,13678,8209,687
445,19453,13678,4050
446,396,19453,2382
447,58687,396,7318
448,59181,58687,66
449,44155,59181,2410
450,45523,44155,949
451,43959,45523,844
452,42976,43959,394
453,61250,42976,2324
454,59555,61250,252
455,41387,59555,2337
456,54196,41387,3651
457,16557,54196,4707
458,53209,16557,4590
459,51707,53209,196
460,55245,51707,966
461,10825,55245,8112
462,23968,10825,3837
463,46606,23968,7541
464,59786,46606,3056
465,21196,59786,5992
466,26462,21196,1714
467,2277,26462,3575
468,60941,2277,7389
469,18758,60941,5353
470,65233,18758,5874
471,5996,65233,7479
472,22009,5996,2130
473,53141,22009,4941
474,32116,53141,5724
475,14867,32116,2284
476,61821,14867,6509
477,22558,61821,5420
478,57894,22558,5959
479,41885,57894,2103
480,145,41885,5217
481,43705,145,5445
482,25869,43705,6646
483,53559,25869,5767
484,895,53559,6729
485,58604,895,7410
486,26040,58604,4138
487,59340,26040,4174
488,4005,59340,7437
489,18780,4005,2271
490,6019,18780,3035
491,37527,6019,4258
492,44152,37527,2013
493,37504,44152,2015
494,36927,37504,87
495,14073,36927,5336
496,31948,14073,2374
497,48279,31948,6155
498,7441,48279,5168
499,37259,7441,4499
500,14417,37259,5435
501,31451,14417,2129
502,410,31451,3944
503,4215,410,573
504,47456,4215,5410
505,52214,47456,3666
506,1368,52214,6613
507,32515,1368,3915
508,8951,32515,3006
509,25013,8951,2152
510,29515,25013,607
511,54894,29515,5284
512,25346,54894,5805
513,53242,25346,5535
514,28635,53242,5124
515,18431,28635,1284
516,38107,18431,6756
517,46839,38107,1093
518,51448,46839,4033
519,54361,51448,916
520,2068,54361,7049
521,23704,2068,2705
522,42114,23704,7939
523,1044,42114,5138
524,61299,1044,7532
525,26945,61299,4294
526,45291,26945,6965
527,38281,45291,1196
528,64573,38281,3382
529,48057,64573,2288
530,48155,48057,244
531,13293,48155,4606
532,27063,13293,2891
533,34917,27063,7226
534,54419,34917,2974
535,35745,54419,3046
536,15593,35745,5865
537,14264,15593,362
538,22740,14264,3565
539,20424,22740,739
540,48292,20424,7789
541,47081,48292,361
542,39169,47081,1501
543,1305,39169,4995
544,26054,1305,3099
545,13799,26054,2564
546,61122,13799,7012
547,42485,61122,2406
548,57276,42485,3913
549,29065,57276,5574
550,28524,29065,988
551,29627,28524,922
552,46408,29627,6366
553,8458,46408,4744
554,40030,8458,6058
555,35163,40030,672
556,54660,35163,2971
557,6067,54660,6214
558,46509,6067,5187
559,809,46509,5840
560,8486,809,1089
561,9177,8486,95
562,37635,9177,5659
563,53235,37635,2974
564,34821,53235,2302
565,55306,34821,2561
566,9923,55306,8153
567,32596,9923,2866
568,31452,32596,177
569,45954,31452,6443
570,3953,45954,6046
571,41290,3953,5575
572,46412,41290,640
573,24036,46412,7445
574,56144,24036,4310
575,35590,56144,2570
576,42023,35590,1508
577,59942,42023,2496
578,57933,59942,269
579,38147,57933,3817
580,60394,38147,4061
581,21707,60394,6116
582,55835,21707,4570
583,9817,55835,8072
584,54155,9817,7866
585,45400,54155,3162
586,34974,45400,1848
587,8531,34974,5433
588,38773,8531,5828
589,47872,38773,1422
590,14476,47872,4209
591,34110,14476,6070
592,59600,34110,3517
593,48289,59600,2702
594,54353,48289,3358
595,22915,54353,4538
596,7429,22915,2192
597,1011,7429,990
598,52019,1011,6424
599,13815,52019,8152
600,53632,13815,7310
601,21502,53632,4175
602,9398,21502,3817
603,64626,9398,6936
604,1975,64626,8056
605,2764,1975,431
606,26178,2764,3473
607,38814,26178,7739
608,64875,38814,3422
609,61023,64875,614
610,12034,61023,6187
611,54032,12034,8066
612,17710,54032,4807
613,54501,17710,4665
614,44558,54501,3933
615,41116,44558,466
616,58148,41116,2167
617,39978,58148,4065
618,22219,39978,6492
619,24292,22219,261
620,29197,24292,1437
621,9294,29197,2760
622,30609,9294,2683
623,62770,30609,4180
624,38018,62770,3126
625,16823,38018,6822
626,38542,16823,6887
627,55431,38542,2497
628,13950,55431,7647
629,55880,13950,7558
630,47339,55880,3156
631,19955,47339,7843
632,25375,19955,1501
633,41426,25375,6233
634,63532,41426,2879
635,32295,63532,4289
636,45742,32295,6545
637,10698,45742,4972
638,2524,10698,1026
639,11847,2524,1267
640,38108,11847,5971
641,14396,38108,5532
642,40297,14396,5290
643,12805,40297,5613
644,64334,12805,6441
645,39423,64334,3158
646,46156,39423,1462
647,60138,46156,3028
648,10331,60138,6230
649,58410,10331,6542
650,22636,58410,6024
651,26871,22636,1555
652,42515,26871,6620
653,55494,42515,4058
654,21700,55494,4480
655,108,21700,2709
656,43395,108,5437
657,25284,43395,6504
658,54338,25284,5840
659,26854,54338,6036
660,26167,26854,474
661,23856,26167,1888
662,2802,23856,2808
663,47535,2802,5739
664,5632,47535,5621
665,39335,5632,4596
666,19803,39335,6815
667,55121,19803,4929
668,47351,55121,3572
669,55814,47351,3166
670,14888,55814,7173
671,9836,14888,904
672,53697,9836,7925
673,45411,53697,3092
674,55819,45411,3437
675,38856,55819,2488
676,41491,38856,1723
677,32833,41491,1098
678,55774,32833,2867
679,25005,55774,5902
680,43896,25005,6490
681,65534,43896,2704
682,17162,65534,6046
683,64114,17162,5935
684,30801,64114,4164
685,4496,30801,3384
686,22060,4496,2295
687,10324,22060,4047
688,61725,10324,6953
689,50032,61725,1613
690,27636,50032,5392
691,14985,27636,2607
692,49658,14985,8046
693,49877,49658,101
694,81,49877,6224
695,49043,81,6136
696,37995,49043,1407
697,44069,37995,1801
698,19402,44069,7421
699,19672,19402,226
700,8539,19672,3504
701,61096,8539,6654
702,3886,61096,7216
703,11122,3886,1163
704,24418,11122,3714
705,14206,24418,3331
706,30064,14206,2113
707,65092,30064,4454
708,20806,65092,5600
709,38866,20806,6354
710,12235,38866,5891
711,46413,12235,4944
712,14531,46413,4529
713,55887,14531,7249
714,12333,55887,7500
715,25152,12333,2637
716,12686,25152,2681
717,48083,12686,4427
718,42449,48083,960
719,49747,42449,3312
720,30871,49747,5976
721,64354,30871,4222
722,8237,64354,7017
723,37206,8237,5679
724,58254,37206,3675
725,30045,58254,4826
726,64527,30045,4394
727,64008,64527,192
728,19624,64008,5844
729,48627,19624,7723
730,32514,48627,6238
731,47013,32514,6420
732,63139,47013,2080
733,61143,63139,782
734,17654,61143,5444
735,48323,17654,7942
736,11526,48323,4664
737,39987,11526,5670
738,58399,39987,3845
739,29534,58399,4840
740,42157,29534,6910
741,9435,42157,4110
742,60188,9435,6648
743,59952,60188,37
744,24708,59952,4438
745,53701,24708,5672
746,40284,53701,2451
747,33606,40284,963
748,7826,33606,5050
749,30905,7826,3269
750,4540,30905,3360
751,63440,4540,7373
752,37177,63440,3293
753,38468,37177,239
754,38773,38468,38
755,50487,38773,2632
756,59579,50487,1457
757,4849,59579,8009
758,34101,4849,4856
759,22388,34101,6728
760,28928,22388,1230
761,10171,28928,2775
762,54922,10171,7718
763,33951,54922,2626
764,18325,33951,6241
765,5564,18325,2629
766,15239,5564,1479
767,11718,15239,712
768,28151,11718,2054
769,42283,28151,6427
770,32416,42283,7025
771,6400,32416,3316
772,48145,6400,5282
773,40836,48145,1138
774,25817,40836,8043
775,22720,25817,1923
776,30467,22720,1528
777,47368,30467,6593
778,27679,47368,6818
779,54382,27679,5902
780,36901,54382,2185
781,40296,36901,425
782,3061,40296,4819
783,50739,3061,6584
784,53323,50739,719
785,5052,53323,6270
786,23635,5052,2557
787,16916,23635,968
788,29513,16916,1579
789,28089,29513,990
790,18122,28089,1390
791,6722,18122,2961
792,63417,6722,7615
793,46627,63417,2099
794,42475,46627,633
795,46255,42475,552
796,9979,46255,4682
797,21120,9979,3727
798,63209,21120,5261
799,42468,63209,2657
800,39292,42468,1939
801,3085,39292,4782
802,33149,3085,4526
803,9489,33149,5261
804,15163,9489,965
805,46069,15163,4377
806,6665,46069,5439
807,44389,6665,5869
808,38025,44389,1853
809,54976,38025,2121
810,57855,54976,1767
811,24735,57855,4140
812,56079,24735,6002
813,13065,56079,7424
814,43651,13065,4913
815,65253,43651,2700
816,3861,65253,7742
817,59251,3861,7436
818,56655,59251,1863
819,34772,56655,2899
820,43264,34772,1498
821,35805,43264,1115
822,4055,35805,4225
823,55511,4055,6880
824,39708,55511,2169
825,43476,39708,1625
826,42157,43476,431
827,56508,42157,3842
828,43931,56508,3812
829,18505,43931,7290
830,7973,18505,2797
831,8323,7973,2036
832,27357,8323,2379
833,32387,27357,651
834,3387,32387,3703
835,57721,3387,7560
836,18930,57721,5393
837,16982,18930,372
838,43957,16982,7484
839,59525,43957,2150
840,38236,59525,4027
841,58772,38236,3609
842,43140,58772,2466
843,50882,43140,3528
844,22552,50882,5083
845,63172,22552,5595
846,42863,63172,2613
847,18253,42863,7172
848,27359,18253,1458
849,30993,27359,633
850,27890,30993,700
851,10847,27890,2261
852,13224,10847,830
853,42885,13224,4741
854,54115,42885,3740
855,32157,54115,5599
856,55665,32157,5277
857,46966,55665,3520
858,61015,46966,2852
859,9646,61015,6527
860,61503,9646,6834
861,20031,61503,6080
862,67,20031,2511
863,27917,67,3497
864,57698,27917,4493
865,40499,57698,4074
866,9829,40499,5898
867,44065,9829,4424
868,37885,44065,2043
869,24270,37885,6566
870,57060,24270,4101
871,24202,57060,4109
872,6597,24202,2281
873,5166,6597,445
874,52533,5166,6947
875,14781,52533,7825
876,25608,14781,2998
877,22976,25608,1977
878,24769,22976,1824
879,6355,24769,3842
880,17649,6355,2948
881,9278,17649,3097
882,16836,9278,3263
883,53661,16836,4619
884,16650,53661,4626
885,11992,16650,3578
886,43127,11992,4309
887,18171,43127,7633
888,62721,18171,5759
889,1968,62721,7766
890,625,1968,184
891,19565,625,2499
892,5038,19565,3064
893,28556,5038,3972
894,35402,28556,7352
895,12010,35402,5268
896,16468,12010,3543
897,198,16468,2066
898,46465,198,5800
899,63216,46465,2158
900,18726,63216,6138
901,20871,18726,788
902,40095,20871,6563
903,47067,40095,1384
904,34317,47067,1594
905,1332,34317,4199
906,49563,1332,6293
907,32890,49563,2108
908,24488,32890,7162
909,33063,24488,7121
910,55424,33063,2868
911,49375,55424,779
912,17043,49375,4169
913,14497,17043,3910
914,30284,14497,2525
915,14711,30284,2535
916,33516,14711,6003
917,50175,33516,2082
918,51739,50175,316
919,51033,51739,424
920,62482,51033,1641
921,14124,62482,6247
922,50308,14124,7797
923,41442,50308,3244
924,14511,41442,4905
925,27478,14511,2687
926,20803,27478,1858
927,56704,20803,4504
928,3833,56704,6767
929,12260,3833,1059
930,34583,12260,5406
931,18382,34583,6171
932,7476,18382,2911
933,38567,7476,4466
934,61933,38567,3305
935,61665,61933,33
936,634,61665,7763
937,53070,634,6566
938,23357,53070,4750
939,62945,23357,5595
940,44990,62945,2891
941,17951,44990,7476
942,46260,17951,7765
943,24794,46260,6797
944,19726,24794,1466
945,63972,19726,5789
946,2323,63972,7710
947,12755,2323,1816
948,12055,12755,984
949,15650,12055,582
950,38742,15650,5454
951,58656,38742,3662
952,41198,58656,2233
953,22160,41198,7887
954,31768,22160,1361
955,2804,31768,3805
956,34316,2804,4511
957,46278,34316,1625
958,36149,46278,1854
959,50234,36149,2337
960,6298,50234,7060
961,43317,6298,5685
962,19376,43317,7248
963,14500,19376,3682
964,18415,14500,4073
965,56919,18415,4919
966,4055,56919,6704
967,23043,4055,2746
968,31574,23043,1066
969,64806,31574,4302
970,54180,64806,1488
971,35032,54180,2927
972,48403,35032,1721
973,13777,48403,4376
974,16230,13777,342
975,60971,16230,6697
976,37288,60971,4080
977,40877,37288,448
978,56480,40877,2145
979,40604,56480,2119
980,65364,40604,3129
981,42089,65364,2919
982,37681,42089,1771
983,55991,37681,2352
984,35291,55991,2669
985,60037,35291,3179
986,54452,60037,1990
987,139,54452,6791
988,9868,139,1216
989,29444,9868,2737
990,6697,29444,3365
991,637,6697,778
992,27776,637,3551
993,56928,27776,5724
994,38868,56928,2358
995,30553,38868,7185
996,34079,30553,7752
997,3262,34079,4404
998,19301,3262,2299
999,38825,19301,7065
1000,41191,38825,1769
1001,36195,41191,1456
1002,51288,36195,2215
1003,48201,51288,3714
1004,62576,48201,2311
1005,37221,62576,3234
1006,26270,37221,7935
1007,12859,26270,2708
1008,33194,12859,5746
1009,21925,33194,6785
1010,46972,21925,7259
1011,30647,46972,6169
1012,12649,30647,2267
1013,14332,12649,210
1014,25779,14332,2665
1015,13958,25779,2630
1016,291,13958,1780
1017,60339,291,7506
1018,56801,60339,1738
1019,36752,56801,2638
1020,18679,36752,6380
1021,33080,18679,6457
1022,30758,33080,7971
1023,35762,30758,7794
1024,24049,35762,6856
1025,13583,24049,3359
1026,58378,13583,6688
1027,50645,58378,1083
1028,5260,50645,6699
1029,14854,5260,1489
1030,7582,14854,1267
1031,41531,7582,6132
1032,59255,41531,2217
1033,62124,59255,699
1034,15072,62124,6409
1035,42780,15072,5055
1036,50843,42780,3120
1037,19971,50843,4371
1038,48227,19971,7756
1039,51825,48227,3778
1040,53853,51825,773
1041,15220,53853,7461
1042,17455,15220,4075
1043,51470,17455,4516
1044,34592,51470,2501
1045,27138,34592,7588
1046,55013,27138,6044
1047,56054,55013,386
1048,7437,56054,6399
1049,50882,7437,7033
1050,2854,50882,6588
1051,22762,2854,2681
1052,8213,22762,3871
1053,28298,8213,2515
1054,52021,28298,5303
1055,10050,52021,7566
1056,33846,10050,5230
1057,1768,33846,4187
1058,36059,1768,4422
1059,64000,36059,3803
1060,47614,64000,2175
1061,45653,47614,373
1062,9098,45653,4667
1063,50722,9098,7349
1064,34637,50722,2093
1065,5034,34637,4764
1066,37061,5034,4205
1067,62519,37061,3230
1068,43102,62519,2957
1069,5330,43102,6033
1070,30398,5330,3149
1071,10293,30398,3025
1072,32007,10293,2726
1073,25793,32007,824
1074,4416,25793,3760
1075,45704,4416,5241
1076,17983,45704,7830
1077,57508,17983,5331
1078,55502,57508,1805
1079,65134,55502,1236
1080,47073,65134,2353
1081,23641,47073,7543
1082,13324,23641,3338
1083,37249,13324,5297
1084,58030,37249,3685
1085,32289,58030,5009
1086,56158,32289,5295
1087,28821,56158,5497
1088,47768,28821,6465
1089,41364,47768,865
1090,53966,41364,3691
1091,64963,53966,1505
1092,48445,64963,2079
1093,62932,48445,2333
1094,7730,62932,7548
1095,41925,7730,6078
1096,31921,41925,7150
1097,19205,31921,1782
1098,37774,19205,6929
1099,57988,37774,3617
1100,4736,57988,7680
1101,17148,4736,2575
1102,28598,17148,1449
1103,37103,28598,8171
1104,48882,37103,1475
1105,55605,48882,3320
1106,37175,55605,2304
1107,26638,37175,7975
1108,14480,26638,2579
1109,30218,14480,2515
1110,32119,30218,367
1111,11094,32119,2756
1112,28646,11094,2198
1113,290,28646,3544
1114,37915,290,4775
1115,574,37915,4804
1116,52107,574,6454
1117,42791,52107,3477
1118,5288,42791,5745
1119,55057,5288,6263
1120,8286,55057,7913
1121,18107,8286,3292
1122,55916,18107,5018
1123,52997,55916,685
1124,59921,52997,1186
1125,47275,59921,2647
1126,62110,47275,2374
1127,12173,62110,7074
1128,34795,12173,5388
1129,26469,34795,7185
1130,28868,26469,756
1131,17643,28868,1669
1132,33224,17643,6308
1133,59815,33224,3341
1134,9556,59815,6558
1135,7688,9556,1899
1136,6500,7688,237
1137,38009,6500,4515
1138,6813,38009,4572
1139,12679,6813,1379
1140,43993,12679,4939
1141,14428,43993,4720
1142,64488,14428,6262
1143,16407,64488,6015
1144,42854,16407,7406
1145,32195,42854,6996
1146,51930,32195,5859
1147,2056,51930,6234
1148,6514,2056,559
1149,38082,6514,4534
1150,34588,38082,635
1151,40480,34588,807
1152,6351,40480,4317
1153,11268,6351,1689
1154,44093,11268,4103
1155,32687,44093,6770
1156,36930,32687,7677
1157,58114,36930,3688
1158,43477,58114,2394
1159,45536,43477,774
1160,11586,45536,5012
1161,43889,11586,4294
1162,47598,43889,595
1163,33362,47598,1911
1164,30464,33362,7850
1165,52732,30464,5983
1166,47520,52732,3723
1167,48359,47520,168
1168,20903,48359,7592
1169,34355,20903,6898
1170,59386,34355,3129
1171,27355,59386,4516
1172,29156,27355,871
1173,27074,29156,772
1174,44840,27074,6365
1175,28439,44840,6151
1176,33960,28439,7543
1177,3813,33960,4425
1178,56273,3813,6822
1179,37831,56273,2306
1180,3884,37831,5021
1181,42523,3884,5414
1182,59073,42523,2075
1183,56617,59073,1917
1184,19253,56617,4803
1185,31513,19253,1541
1186,13512,31513,2554
1187,13736,13512,44
1188,33689,13736,5830
1189,37121,33689,595
1190,28896,37121,7228
1191,50984,28896,5881
1192,46336,50984,3653
1193,52691,46336,3866
1194,25749,52691,5416
1195,38307,25749,7718
1196,30447,38307,7273
1197,26915,30447,1017
1198,62113,26915,4976
1199,12020,62113,7050
1200,28930,12020,3070
1201,37388,28930,7265
1202,6101,37388,4283
1203,33778,6101,4740
1204,57464,33778,3185
1205,32867,57464,3075
1206,5696,32867,4804
1207,16065,5696,1296
1208,61940,16065,6630
1209,25904,61940,4760
1210,11914,25904,2423
1211,10851,11914,157
1212,62337,10851,6972
1213,61017,62337,955
1214,35744,61017,3263
1215,32661,35744,7814
1216,41687,32661,7080
1217,20896,41687,7790
1218,17557,20896,678
1219,10968,17557,3529
1220,7132,10968,1568
1221,4815,7132,290
1222,39111,4815,4417
1223,24525,39111,6369
1224,11117,24525,3732
1225,63793,11117,6731
1226,51776,63793,1646
1227,3525,51776,6384
1228,2653,3525,243
1229,59459,2653,7235
1230,14943,59459,6723
1231,2456,14943,1656
1232,50365,2456,6564
1233,36779,50365,2402
1234,44215,36779,1123
1235,181,44215,5504
1236,53597,181,6717
1237,9833,53597,7910
1238,54327,9833,7755
1239,35194,54327,2985
1240,40338,35194,669
1241,42315,40338,1819
1242,36490,42315,1400
1243,58565,36490,3401
1244,4410,58565,7871
1245,13478,4410,1203
1246,29120,13478,2220
1247,17611,29120,1697
1248,20221,17611,326
1249,49474,20221,4599
1250,36909,49474,2605
1251,44327,36909,1953
1252,13524,44327,4926
1253,60565,13524,6920
1254,38545,60565,3904
1255,49205,38545,2772
1256,24783,49205,5151
1257,52276,24783,5535
1258,43128,52276,3209
1259,3489,43128,5307
1260,48658,3489,5750
1261,11398,48658,4690
1262,40675,11398,5708
1263,46650,40675,1307
